predict,target
249.23203200000043,15.16
172.56635400000022,14.787
185.5999519999994,25.525
110.48245000000016,12.579
264.64340000000044,18.604
152.38006999999917,4.231
187.33683799999974,16.436
168.0320680000004,19.626
153.3541600000002,22.62
152.75731599999995,27.136999999999997
191.91272000000004,27.713
190.44484200000016,4.002
171.60974599999986,22.018999999999995
174.1998400000002,11.519
144.72546599999995,15.114
113.37032000000012,9.825
189.1198800000001,5.81
134.6052480000003,29.779
215.35882399999937,4.218
150.74897600000014,4.568
182.51359800000003,25.664
257.16607000000016,9.506
156.6940719999999,0.784
194.57932400000044,19.234
185.84221999999926,17.018
187.416142,27.927
123.54820799999996,6.843
181.61940399999955,28.11
178.01774400000002,24.430999999999997
222.46362000000022,17.033
169.6958579999998,15.595
195.64264200000048,20.603
180.45435999999972,28.653
154.610764,13.464
159.23843199999988,27.55
171.7706460000001,9.154
165.37739999999988,16.972
162.06472200000027,19.169
246.1185040000003,15.201
188.7732500000007,23.430999999999997
183.59961400000043,20.021
185.07293399999932,16.526
287.3220120000003,0.93
104.2012580000002,14.325
180.23916000000023,17.356
186.20575400000024,27.893
205.08855399999968,23.12
241.57748399999974,6.162000000000001
166.50893999999982,16.828
209.43335600000003,5.124
156.1312599999998,22.746
180.88005999999933,5.942
161.16938800000048,26.236
206.54670400000043,3.778
142.42653799999997,13.015999999999998
117.65204800000001,0.593
197.25580999999937,28.882
172.0991419999998,12.272
244.17953600000052,6.408
154.23363800000018,5.222
150.83979799999992,12.849
200.93756400000038,22.284000000000002
175.87186799999935,14.678000000000003
152.1862560000002,29.451
215.62332599999962,13.277999999999999
250.49369800000065,10.855
172.48885799999945,27.863000000000003
141.7464319999999,5.039
106.43449200000013,13.966
185.20711800000026,23.604
268.4259399999999,5.564
172.80380000000025,13.281
170.06180200000006,13.042
148.08324200000007,13.698
175.04624799999974,26.272
169.71795400000008,17.822
188.80861999999976,17.768
168.65624999999974,21.398000000000003
156.67007800000025,16.915
170.9899299999999,25.753
244.88079000000042,15.804
230.36957200000052,24.131
139.1244700000001,8.446
173.96297000000024,0.632
261.1276920000007,19.787
156.2687699999999,16.798
156.02978800000005,5.622000000000001
144.561866,16.7
238.10425400000085,12.067
229.558778,11.041000000000002
173.94232999999997,20.840999999999998
174.9394879999997,2.182
186.97662000000014,27.22
242.58917400000036,22.229
173.43354199999965,3.051
173.65791600000003,14.85
227.93842999999998,9.197
162.39882600000033,20.302
230.56078400000052,16.58
170.80977999999962,15.719
154.67656399999998,4.34
101.05478400000011,16.464
229.54498600000068,23.916
150.25511400000053,24.744
171.1288420000001,9.634
180.55329200000014,14.355
239.1162220000006,24.795
124.14017200000008,15.639
156.31052799999995,19.071
193.75980599999934,2.687
163.1476620000005,8.417
154.42346999999975,3.487
145.3306419999999,21.417
180.86009400000003,10.825
169.57283199999998,14.508
165.38365200000004,21.0
127.17404800000014,11.067
153.87714399999916,2.638
188.45980999999935,29.195
172.4347760000003,1.178
145.9849740000003,4.843
192.89898399999964,1.702
172.86914800000042,19.159
252.21939800000087,17.073
215.19144199999963,2.968
104.93056199999997,0.985
228.56300800000074,26.565
135.4654580000001,11.97
165.58104599999922,3.596
147.9789060000002,2.14
109.37770400000007,6.657
181.04809600000004,27.095
257.32274000000046,25.784000000000002
173.24106000000012,4.976
179.84386200000023,23.238000000000003
176.75429000000014,5.057
256.10877400000044,9.963
193.86309399999973,12.023
253.30140000000003,6.52
180.36029599999983,26.021
164.3531279999999,24.264
144.38858000000016,2.303
169.75962200000023,6.450999999999999
186.95611599999927,22.163
209.2584179999996,9.391
265.6767560000005,5.945
176.26640399999934,5.259000000000001
188.36064399999964,17.852
151.84815399999988,10.303000000000003
193.73551999999964,5.291
241.30861800000065,1.648
205.82820599999985,5.478
187.42953799999998,28.863000000000003
260.9274420000005,14.687000000000001
113.07642200000014,3.627
152.03137999999984,16.223
165.919424,19.871
167.53205799999975,19.54
147.78502400000013,1.795
235.56398600000023,24.474
178.2515220000003,19.673
145.83540200000022,8.734
228.12939999999995,2.853
118.34638400000019,7.273
157.34696599999972,19.341
167.56285399999976,28.713
185.54820400000034,5.266
232.33130400000096,12.807
194.5274919999998,14.731
147.62764400000017,3.238
171.84381799999989,22.003
193.93379399999932,29.75
178.8670720000003,24.002
185.57795799999923,19.844
205.1288100000007,19.331
213.26541599999965,9.036
205.95226800000037,18.054
152.23459599999998,10.713
199.89511599999972,3.786
168.8890620000001,17.377
180.58426399999985,17.027
187.93701800000028,7.535999999999999
172.33896599999989,22.893999999999995
174.12703599999972,28.585
123.40645800000006,23.976999999999997
163.9390239999999,24.882999999999996
168.5222580000007,13.465
160.3739940000005,21.816
162.43166800000006,21.188
111.18810400000012,8.611
190.5314019999997,21.750999999999998
270.4492460000002,14.748
176.20727400000055,14.115
179.56506600000048,19.218
171.79193200000037,20.096
175.29395400000013,16.251
150.3102420000001,14.208
166.0495060000003,11.771
141.44554200000002,16.238
153.81123400000027,7.268
192.48105999999984,23.518999999999995
255.94378200000102,6.285
171.33970800000017,14.214
204.63487800000064,22.7
191.16464199999947,29.132999999999996
205.74997599999972,5.981
198.59232400000045,19.027
186.84360600000028,20.115
201.79010600000052,21.092
197.14152800000008,5.665
163.92832600000045,5.697
194.49949,16.109
145.06968999999984,29.854
215.81963200000047,21.363000000000003
180.26220599999994,29.422000000000004
207.3428660000002,28.113000000000003
183.14439,16.615
168.43416200000004,15.866
178.82350400000024,5.365
192.8871699999997,23.083
251.1788780000004,19.666
205.94152999999983,2.574
179.62239200000064,12.311
156.7205019999999,25.307
188.1914979999992,16.729
103.67028800000001,11.036
174.59865199999984,20.63
149.7733939999999,18.707
189.50305799999967,29.859
158.8253879999992,3.2120000000000006
180.7901979999998,23.577999999999996
148.51970199999994,23.055999999999997
143.96849200000008,14.723000000000003
141.9229299999999,23.840999999999998
176.05152199999964,26.755
238.74350200000038,12.866
185.8982179999999,6.526
240.9091800000004,13.168
161.7006899999999,4.724
121.1320540000001,2.579
188.34791999999965,24.5
139.936436,22.531
159.89958199999998,15.712
179.62365399999982,26.574
235.59309400000078,25.553
226.47674200000066,24.896
159.23804199999998,28.223
193.07799199999982,13.995
131.24693400000015,12.753
184.37705799999992,18.899
138.60739800000022,4.524
183.58113599999996,16.842
184.04604199999991,25.245
143.65423599999988,24.563
186.83787799999985,20.421
170.01729999999995,16.686
163.3193999999998,3.446
220.60624800000045,22.246
230.60918000000112,11.24
168.13618200000028,20.583
175.96164600000026,13.149
169.87513400000051,0.701
179.2839340000003,29.67
267.8368579999999,9.336
122.25650600000006,2.002
119.58223800000005,24.683000000000003
179.60756800000001,29.031999999999996
131.91702399999997,17.919
188.9262139999999,21.026
193.29353400000022,15.76
123.03483399999993,1.575
166.96157599999967,25.11
149.098644,14.592
200.50480800000017,20.446
156.12777799999992,9.202
169.280566,4.78
164.0403280000003,18.116
134.31927800000005,8.747
178.53610200000026,12.312000000000001
155.81515199999993,17.905
140.23816800000037,26.163
177.684574,25.821000000000005
190.5790599999992,26.409000000000002
155.13585800000018,6.31
183.38812800000014,10.538999999999998
180.96819000000016,11.561
239.09364800000046,19.541
177.90984600000024,10.295
222.3658899999997,3.364
155.73720399999985,26.299
158.52389600000004,4.017
188.99938599999962,25.707000000000004
117.98695800000004,21.051
216.66663199999937,9.891
188.72783199999992,16.301
176.0125079999999,26.107
146.90316800000016,1.435
127.48912199999997,18.808
158.58987200000027,21.507999999999996
173.29961000000003,26.399
186.28891799999982,15.753
194.6668800000001,15.972000000000001
252.16094400000077,12.659
192.04354399999917,17.808
177.66571400000058,8.953
189.9860739999996,29.947
